Change Component Footprint: Designator=C4 Old Footprint=Axial Cap 0.5mm New Footprint=RAD-0.3
Change Component Footprint: Designator=C5 Old Footprint=Axial Cap 0.5mm New Footprint=RAD-0.3
Change Component Footprint: Designator=C2 Old Footprint=EEU-FM1V221L New Footprint=RB7.6-15
Change Component Footprint: Designator=C1 Old Footprint=EEU-FM1V681 New Footprint=RB7.6-15
Change Component Footprint: Designator=C3 Old Footprint=EEU-FR1V181 New Footprint=RB7.6-15
Change Component Footprint: Designator=L1 Old Footprint=Inductor 2307-V-RC New Footprint=0402-A
Change Component Footprint: Designator=L2 Old Footprint=Inductor Dia: 8.8mm New Footprint=0402-A
Change Component Comment : Designator=D2 Old Comment=1N4004 New Comment=Diode 1N4004
Change Component Comment : Designator=D3 Old Comment=1N4004 New Comment=Diode 1N4004
Change Component Comment : Designator=D4 Old Comment=1N4004 New Comment=Diode 1N4004
Change Component Comment : Designator=Q1 Old Comment=IRF520 New Comment=NMOS-2
Change Component Comment : Designator=Q2 Old Comment=IRF520 New Comment=NMOS-2
Change component parameters: Designator = "C1" ("C1"); Footprint = "EEU-FM1V681"; UniqueID = "\RJNZKUBR" ("\RJNZKUBR")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "Polarized Capacitor (Radial); 2 Leads"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "RB7.6-15"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100pF"; VariantName = "[No Variations]"
Change component parameters: Designator = "C2" ("C2"); Footprint = "EEU-FM1V221L"; UniqueID = "\ZRQQLHLQ" ("\ZRQQLHLQ")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "Polarized Capacitor (Radial); 2 Leads"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "RB7.6-15"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100pF"; VariantName = "[No Variations]"
Change component parameters: Designator = "C3" ("C3"); Footprint = "EEU-FR1V181"; UniqueID = "\TLHLIYMK" ("\TLHLIYMK")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "Polarized Capacitor (Radial); 2 Leads"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "RB7.6-15"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100pF"; VariantName = "[No Variations]"
Change component parameters: Designator = "C4" ("C4"); Footprint = "Axial Cap 0.5mm"; UniqueID = "\RHNSXRSA" ("\RHNSXRSA")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
